timestamp,location_name,temperature_current,humidity,rainfall,disease_risk
2026-05-23T00:00:00,Nuwara Eliya,16.71,81.78,0.53,7.42
2026-05-23T01:00:00,Nuwara Eliya,16.94,82.1,0.06,15.45
2026-05-23T02:00:00,Nuwara Eliya,16.81,78.44,0.0,13.7
2026-05-23T03:00:00,Nuwara Eliya,11.64,91.0,3.44,12.74
2026-05-23T04:00:00,Nuwara Eliya,16.81,94.2,0.34,21.64
2026-05-23T05:00:00,Nuwara Eliya,10.49,95,2.69,15.92
2026-05-23T06:00:00,Nuwara Eliya,10,95,6.92,13.89
2026-05-23T07:00:00,Nuwara Eliya,13.98,90.2,0.29,17.08
2026-05-23T08:00:00,Nuwara Eliya,12.0,95,1.62,19.23
2026-05-23T09:00:00,Nuwara Eliya,15.27,85.46,0.0,17.95
2026-05-23T10:00:00,Nuwara Eliya,13.91,80.22,0.0,7.45
2026-05-23T11:00:00,Nuwara Eliya,11.84,85.26,0.0,12.7
2026-05-23T12:00:00,Nuwara Eliya,13.37,91.4,6.01,14.08
2026-05-23T13:00:00,Nuwara Eliya,13.6,73.69,0.0,12.78
2026-05-23T14:00:00,Nuwara Eliya,15.55,82.07,1.84,9.95
2026-05-23T15:00:00,Nuwara Eliya,17.6,76.02,0.33,14.1
2026-05-23T16:00:00,Nuwara Eliya,14.53,79.59,0.0,15.53
2026-05-23T17:00:00,Nuwara Eliya,20.08,78.93,0.0,15.07
2026-05-23T18:00:00,Nuwara Eliya,17.54,79.96,0.0,19.01
2026-05-23T19:00:00,Nuwara Eliya,20.03,93.72,6.46,17.3
2026-05-23T20:00:00,Nuwara Eliya,17.25,83.11,0.0,10.63
2026-05-23T21:00:00,Nuwara Eliya,16.64,80.59,3.02,10.29
2026-05-23T22:00:00,Nuwara Eliya,18.03,87.67,0.04,12.21
2026-05-23T23:00:00,Nuwara Eliya,18.46,90.27,4.42,16.75
2026-05-23T00:00:00,Kandy,23.45,71.05,0.0,11.71
2026-05-23T01:00:00,Kandy,21.12,76.44,3.09,16.57
2026-05-23T02:00:00,Kandy,19.86,80.62,0.56,12.06
2026-05-23T03:00:00,Kandy,20.14,71.45,0.38,16.76
2026-05-23T04:00:00,Kandy,21.98,82.16,1.5,20.18
2026-05-23T05:00:00,Kandy,21.79,81.96,1.66,15.07
2026-05-23T06:00:00,Kandy,23.31,78.52,0.0,10.03
2026-05-23T07:00:00,Kandy,21.01,74.13,0.83,15.67
2026-05-23T08:00:00,Kandy,18,78.51,0.77,19.57
2026-05-23T09:00:00,Kandy,20.69,74.15,0.82,16.76
2026-05-23T10:00:00,Kandy,22.84,70.1,0.0,12.22
2026-05-23T11:00:00,Kandy,25.11,76.47,0.0,12.77
2026-05-23T12:00:00,Kandy,22.96,69.41,0.77,11.91
2026-05-23T13:00:00,Kandy,23.94,59.42,0.0,12.71
2026-05-23T14:00:00,Kandy,29.33,58.68,0.0,8.97
2026-05-23T15:00:00,Kandy,22.1,58.51,0.0,8.7
2026-05-23T16:00:00,Kandy,26.68,62.66,0.0,9.24
2026-05-23T17:00:00,Kandy,25.49,70.6,1.36,12.26
2026-05-23T18:00:00,Kandy,28.15,66.73,1.35,7.69
2026-05-23T19:00:00,Kandy,23.21,72.83,0.0,18.18
2026-05-23T20:00:00,Kandy,25.54,68.09,0.0,16.05
2026-05-23T21:00:00,Kandy,25.33,82.66,0.0,14.02
2026-05-23T22:00:00,Kandy,26.32,82.69,4.06,5.78
2026-05-23T23:00:00,Kandy,23.9,68.9,0.0,7.92
2026-05-23T00:00:00,Ratnapura,32.4,78.04,4.08,17.63
2026-05-23T01:00:00,Ratnapura,29.77,71.31,0.27,10.91
2026-05-23T02:00:00,Ratnapura,25.48,81.63,2.41,16.76
2026-05-23T03:00:00,Ratnapura,30.43,75.84,1.32,12.42
2026-05-23T04:00:00,Ratnapura,26.88,84.57,3.24,9.8
2026-05-23T05:00:00,Ratnapura,26.67,86.4,0.0,9.52
2026-05-23T06:00:00,Ratnapura,26.74,79.8,0.33,18.15
2026-05-23T07:00:00,Ratnapura,26.24,83.36,0.0,12.52
2026-05-23T08:00:00,Ratnapura,27.78,76.74,0.0,14.23
2026-05-23T09:00:00,Ratnapura,27.7,82.66,0.0,9.66
2026-05-23T10:00:00,Ratnapura,25.73,72.45,0.0,21.08
2026-05-23T11:00:00,Ratnapura,27.17,75.12,0.0,16.72
2026-05-23T12:00:00,Ratnapura,29.66,68.14,0.0,15.83
2026-05-23T13:00:00,Ratnapura,25.57,70.27,0.0,15.27
2026-05-23T14:00:00,Ratnapura,28.62,70.87,0.0,10.72
2026-05-23T15:00:00,Ratnapura,27.5,65,0.0,8.8
2026-05-23T16:00:00,Ratnapura,33.47,78.64,7.88,14.46
2026-05-23T17:00:00,Ratnapura,27.16,76.42,2.24,11.02
2026-05-23T18:00:00,Ratnapura,29.24,83.33,0.0,11.28
2026-05-23T19:00:00,Ratnapura,27.8,73.54,0.0,8.9
2026-05-23T20:00:00,Ratnapura,33.67,67.63,0.0,17.06
2026-05-23T21:00:00,Ratnapura,30.58,69.73,0.0,11.99
2026-05-23T22:00:00,Ratnapura,30.3,83.09,6.77,4.77
2026-05-23T23:00:00,Ratnapura,28.86,77.8,0.0,12.41
2026-05-24T00:00:00,Nuwara Eliya,14.62,84.69,2.19,13.92
2026-05-24T01:00:00,Nuwara Eliya,12.03,90.42,0.65,16.73
2026-05-24T02:00:00,Nuwara Eliya,14.29,83.21,0.0,7.67
2026-05-24T03:00:00,Nuwara Eliya,14.94,76.91,0.98,14.98
2026-05-24T04:00:00,Nuwara Eliya,15.86,87.89,0.76,11.84
2026-05-24T05:00:00,Nuwara Eliya,13.49,95,4.87,17.32
2026-05-24T06:00:00,Nuwara Eliya,11.79,89.89,0.0,14.22
2026-05-24T07:00:00,Nuwara Eliya,12.62,95,5.66,9.63
2026-05-24T08:00:00,Nuwara Eliya,10,87.76,0.0,9.18
2026-05-24T09:00:00,Nuwara Eliya,10,95,7.96,12.74
2026-05-24T10:00:00,Nuwara Eliya,12.81,88.95,5.08,13.73
2026-05-24T11:00:00,Nuwara Eliya,13.26,84.1,1.11,15.36
2026-05-24T12:00:00,Nuwara Eliya,14.94,75.25,0.0,12.28
2026-05-24T13:00:00,Nuwara Eliya,12.63,70.87,0.49,14.11
2026-05-24T14:00:00,Nuwara Eliya,12.84,77.71,0.0,10.04
2026-05-24T15:00:00,Nuwara Eliya,18.14,79.08,0.0,8.63
2026-05-24T16:00:00,Nuwara Eliya,14.1,80.72,1.94,12.66
2026-05-24T17:00:00,Nuwara Eliya,17.17,83.66,2.39,13.87
2026-05-24T18:00:00,Nuwara Eliya,17.07,84.89,0.0,13.9
2026-05-24T19:00:00,Nuwara Eliya,17.97,83.15,0.0,15.0
2026-05-24T20:00:00,Nuwara Eliya,20.36,80.25,0.83,9.39
2026-05-24T21:00:00,Nuwara Eliya,18.45,85.14,0.18,14.24
2026-05-24T22:00:00,Nuwara Eliya,19.95,79.77,0.0,11.33
2026-05-24T23:00:00,Nuwara Eliya,17.75,81.68,0.04,13.01
2026-05-24T00:00:00,Kandy,22.95,75.1,1.8,12.1
2026-05-24T01:00:00,Kandy,21.03,79.78,2.57,15.9
2026-05-24T02:00:00,Kandy,24.71,73.71,0.0,13.76
2026-05-24T03:00:00,Kandy,22.21,70.54,0.0,11.16
2026-05-24T04:00:00,Kandy,22.35,86.04,0.0,20.21
2026-05-24T05:00:00,Kandy,21.68,74.99,0.0,17.61
2026-05-24T06:00:00,Kandy,18.81,88.57,0.0,20.39
2026-05-24T07:00:00,Kandy,18.21,75.05,0.0,15.33
2026-05-24T08:00:00,Kandy,22.15,73.41,0.0,12.12
2026-05-24T09:00:00,Kandy,18,81.75,2.86,10.76
2026-05-24T10:00:00,Kandy,22.02,68.98,0.0,7.87
2026-05-24T11:00:00,Kandy,25.14,71.29,0.36,12.01
2026-05-24T12:00:00,Kandy,24.07,64.99,0.02,12.48
2026-05-24T13:00:00,Kandy,21.95,62.94,0.0,9.62
2026-05-24T14:00:00,Kandy,19.46,66.57,0.38,8.89
2026-05-24T15:00:00,Kandy,21.65,59.37,0.0,14.37
2026-05-24T16:00:00,Kandy,22.69,67.21,0.43,12.3
2026-05-24T17:00:00,Kandy,26.51,69.5,0.0,11.08
2026-05-24T18:00:00,Kandy,21.88,68.87,0.0,11.98
2026-05-24T19:00:00,Kandy,26.38,74.02,0.3,11.45
2026-05-24T20:00:00,Kandy,24.58,79.17,1.79,19.04
2026-05-24T21:00:00,Kandy,21.26,68.36,0.0,12.66
2026-05-24T22:00:00,Kandy,25.34,61.97,0.0,15.52
2026-05-24T23:00:00,Kandy,24.06,72.5,0.0,14.18
2026-05-24T00:00:00,Ratnapura,27.93,80.26,0.0,13.04
2026-05-24T01:00:00,Ratnapura,26.0,76.22,1.77,16.26
2026-05-24T02:00:00,Ratnapura,31.88,68.12,0.0,8.22
2026-05-24T03:00:00,Ratnapura,26.92,75.96,0.57,10.16
2026-05-24T04:00:00,Ratnapura,26.86,82.23,1.44,8.23
2026-05-24T05:00:00,Ratnapura,26.24,76.76,0.0,12.76
2026-05-24T06:00:00,Ratnapura,28.53,75.84,0.0,6.07
2026-05-24T07:00:00,Ratnapura,22.87,91.59,0.0,14.51
2026-05-24T08:00:00,Ratnapura,26.09,86.37,3.32,10.26
2026-05-24T09:00:00,Ratnapura,27.27,80.19,0.0,8.11
2026-05-24T10:00:00,Ratnapura,24.58,79.32,1.36,16.93
2026-05-24T11:00:00,Ratnapura,30.17,65,0.0,7.85
2026-05-24T12:00:00,Ratnapura,29.49,73.52,0.0,13.17
2026-05-24T13:00:00,Ratnapura,24.37,73.32,0.0,17.71
2026-05-24T14:00:00,Ratnapura,26.46,68.51,1.03,12.91
2026-05-24T15:00:00,Ratnapura,29.9,65,0.0,18.14
2026-05-24T16:00:00,Ratnapura,30.48,65,0.0,13.73
2026-05-24T17:00:00,Ratnapura,32.12,77.74,0.0,13.05
2026-05-24T18:00:00,Ratnapura,28.61,77.1,1.08,7.69
2026-05-24T19:00:00,Ratnapura,30.98,76.68,0.0,11.45
2026-05-24T20:00:00,Ratnapura,30.67,70.77,0.0,10.42
2026-05-24T21:00:00,Ratnapura,32.28,82.17,0.0,16.82
2026-05-24T22:00:00,Ratnapura,32.5,73.81,4.28,12.84
2026-05-24T23:00:00,Ratnapura,28.53,77.74,0.0,12.02
2026-05-25T00:00:00,Nuwara Eliya,15.13,74.28,0.0,12.76
2026-05-25T01:00:00,Nuwara Eliya,17.33,72.7,0.0,16.18
2026-05-25T02:00:00,Nuwara Eliya,11.8,74.02,0.74,5.78
2026-05-25T03:00:00,Nuwara Eliya,13.59,80.76,0.89,9.54
2026-05-25T04:00:00,Nuwara Eliya,12.31,95,4.18,16.99
2026-05-25T05:00:00,Nuwara Eliya,13.47,95,4.28,15.83
2026-05-25T06:00:00,Nuwara Eliya,10.99,90.71,0.0,14.36
2026-05-25T07:00:00,Nuwara Eliya,10,95,0.0,13.75
2026-05-25T08:00:00,Nuwara Eliya,10.32,94.74,1.85,14.48
2026-05-25T09:00:00,Nuwara Eliya,10,90.26,4.13,9.53
2026-05-25T10:00:00,Nuwara Eliya,15.28,82.66,0.8,7.47
2026-05-25T11:00:00,Nuwara Eliya,13.75,95,2.09,13.15
